source	program	version	celltype	rho_new	p_new	status_new	q_new	family	n	rho_old	p_old	status_old	reason	q_old
GSE24290	original_xenium	repaired_inherited	Epineurial	-0.0338935574229691	0.8467317747626659	COMPLETED	0.9150254249799402	proxy_program	35	-0.0338935574229691	0.8467317747626659	COMPLETED		0.9146217565596538
GSE24290	original_xenium	repaired_inherited	Lymphoid	0.1392156862745098	0.4251055346737461	COMPLETED	0.5775018584247117	proxy_program	35	0.1392156862745098	0.4251055346737461	COMPLETED		0.6072936209624945
GSE24290	original_xenium	repaired_inherited	Macrophage	0.026890756302521	0.8781319242035421	COMPLETED	0.9345719994910123	proxy_program	35	0.026890756302521	0.8781319242035421	COMPLETED		0.9288586366769516
GSE24290	original_xenium	repaired_inherited	Mural	-0.4000000000000001	0.0172729999201945	COMPLETED	0.04693041487750958	proxy_program	35	-0.4000000000000001	0.0172729999201945	COMPLETED		0.0521449054194552
GSE24290	original_xenium	repaired_inherited	Perineurial	-0.0593837535014005	0.7347157128994548	COMPLETED	0.8601549809554593	proxy_program	35	-0.0593837535014005	0.7347157128994548	COMPLETED		0.8772724930142743
GSE24290	original_xenium	repaired_inherited	Schwann	-0.0487394957983193	0.7809816760074524	COMPLETED	0.8786043855083839	proxy_program	35	-0.0487394957983193	0.7809816760074524	COMPLETED		0.898305207048395
GSE24290	original_xenium	repaired_inherited	Vascular_endothelial	-0.2831932773109243	0.0992517899215868	COMPLETED	0.20129940491138731	proxy_program	35	-0.2831932773109243	0.0992517899215868	COMPLETED		0.2175381696911491
GSE24290	severity_neuron_residual	repaired_inherited	Endoneurial	0.2705882352941177	0.11591011199368	COMPLETED	0.22555481252824217	proxy_program	35	0.284593837535014	0.0975197281888269	COMPLETED		0.2167105070862821
GSE24290	severity_neuron_residual	repaired_inherited	Epineurial	0.2173669467787115	0.2097258554063154	COMPLETED	0.36386172504228215	proxy_program	35	0.2033613445378151	0.2413168829339988	COMPLETED		0.4196815355373892
GSE24290	severity_neuron_residual	repaired_inherited	Lymphoid	0.0243697478991596	0.8894834629168574	COMPLETED	0.9345719994910123	proxy_program	35	0.0221288515406162	0.8995919654777684	COMPLETED		0.9346410030937854
GSE24290	severity_neuron_residual	repaired_inherited	Macrophage	-0.0733893557422969	0.6752344559172725	COMPLETED	0.832500573579854	proxy_program	35	-0.0742296918767507	0.6717221903539592	COMPLETED		0.8267350035125651
GSE24290	severity_neuron_residual	repaired_inherited	Mural	-0.073109243697479	0.6764067160336313	COMPLETED	0.832500573579854	proxy_program	35	-0.0759103641456582	0.6647181919662448	COMPLETED		0.8244566722061951
GSE24290	severity_neuron_residual	repaired_inherited	Perineurial	0.0134453781512605	0.9388952550807832	COMPLETED	0.9454609561652642	proxy_program	35	0.0092436974789915	0.9579698007240436	COMPLETED		0.9700960007332088
GSE24290	severity_neuron_residual	repaired_inherited	Schwann	-0.2254901960784313	0.1927731973854329	COMPLETED	0.3385285417500285	proxy_program	35	-0.2098039215686274	0.2264100584777905	COMPLETED		0.4025067706271832
GSE24290	severity_neuron_residual	repaired_inherited	Vascular_endothelial	-0.0453781512605042	0.7957554247873968	COMPLETED	0.8882851253440708	proxy_program	35	-0.0448179271708683	0.7982246699859685	COMPLETED		0.898305207048395
GSE24290	severity_neuron_shared_concordant_core	repaired_inherited	Endoneurial			NOT_EVALUABLE		proxy_program	35	-0.0851540616246498	0.6267067175673653	COMPLETED		0.7952965031391361
GSE24290	severity_neuron_shared_concordant_core	repaired_inherited	Epineurial			NOT_EVALUABLE		proxy_program	35	0.384873949579832	0.0224308452850375	COMPLETED		0.0652533681019274
GSE24290	severity_neuron_shared_concordant_core	repaired_inherited	Lymphoid			NOT_EVALUABLE		proxy_program	35	0.2535014005602241	0.1417263466079417	COMPLETED		0.2732074151478395
GSE24290	severity_neuron_shared_concordant_core	repaired_inherited	Macrophage			NOT_EVALUABLE		proxy_program	35	0.1563025210084033	0.3699088123183489	COMPLETED		0.542985412577393
GSE24290	severity_neuron_shared_concordant_core	repaired_inherited	Mural			NOT_EVALUABLE		proxy_program	35	0.1843137254901961	0.2891773512191943	COMPLETED		0.4709819925228835
GSE24290	severity_neuron_shared_concordant_core	repaired_inherited	Perineurial			NOT_EVALUABLE		proxy_program	35	-0.3504201680672269	0.03903909724787	COMPLETED		0.1023976321255608
GSE24290	severity_neuron_shared_concordant_core	repaired_inherited	Schwann			NOT_EVALUABLE		proxy_program	35	-0.2378151260504201	0.1689247326071753	COMPLETED		0.3106661749097477
GSE24290	severity_neuron_shared_concordant_core	repaired_inherited	Vascular_endothelial			NOT_EVALUABLE		proxy_program	35	0.04593837535014	0.7932881287957424	COMPLETED		0.898305207048395
GSE24290	late_allcell_residual	repaired_statfree	Endoneurial	-0.0876750700280112	0.6164967942764843	COMPLETED	0.7973893886737128	proxy_program	35	-0.0876750700280112	0.6164967942764843	COMPLETED		0.7952965031391361
GSE24290	late_allcell_residual	repaired_statfree	Epineurial	0.1254901960784313	0.4725755604781911	COMPLETED	0.6359895393351357	proxy_program	35	0.1254901960784313	0.4725755604781911	COMPLETED		0.6462571767223128
GSE24290	late_allcell_residual	repaired_statfree	Lymphoid	0.1630252100840336	0.3494154033777815	COMPLETED	0.5296401903831636	proxy_program	35	0.1630252100840336	0.3494154033777815	COMPLETED		0.53244251943281
GSE24290	late_allcell_residual	repaired_statfree	Macrophage	0.1834733893557423	0.2914201078735342	COMPLETED	0.4715111857729092	proxy_program	35	0.1834733893557423	0.2914201078735342	COMPLETED		0.4709819925228835
GSE24290	late_allcell_residual	repaired_statfree	Mural	-0.0246498599439775	0.8882210713223349	COMPLETED	0.9278964852089336	proxy_program	35	-0.0246498599439775	0.8882210713223349	COMPLETED		0.9288586366769516
GSE24290	late_allcell_residual	repaired_statfree	Perineurial	-0.5495798319327732	0.000627203849267	COMPLETED	0.002508815397068	proxy_program	35	-0.5495798319327732	0.000627203849267	COMPLETED		0.0028672175966493
GSE24290	late_allcell_residual	repaired_statfree	Schwann	-0.6484593837535014	2.5243565834303344e-05	COMPLETED	0.00013330716131770888	proxy_program	35	-0.6484593837535014	2.5243565834303344e-05	COMPLETED		0.0001553450205187
GSE24290	late_allcell_residual	repaired_statfree	Vascular_endothelial	0.4568627450980392	0.0057991192634511	COMPLETED	0.0173973577903533	proxy_program	35	0.4568627450980392	0.0057991192634511	COMPLETED		0.0197416825989827
GSE24290	late_neuron_residual	repaired_statfree	Endoneurial	-0.0708683473389355	0.685811536574179	COMPLETED	0.8369225531074728	proxy_program	35	-0.2579831932773109	0.1345807014117629	COMPLETED		0.271248529543981
GSE24290	late_neuron_residual	repaired_statfree	Epineurial	0.3857142857142857	0.0221141749242672	COMPLETED	0.0589711331313792	proxy_program	35	0.261344537815126	0.1293983841810091	COMPLETED		0.2654325829354034
GSE24290	late_neuron_residual	repaired_statfree	Lymphoid	0.4350140056022408	0.0090118389249846	COMPLETED	0.025445192258780048	proxy_program	35	0.4826330532212884	0.0033205362659794	COMPLETED		0.0120746773308345
GSE24290	late_neuron_residual	repaired_statfree	Macrophage	0.7893557422969187	1.7496906207882523e-08	COMPLETED	2.29050408539553e-07	proxy_program	35	0.7022408963585435	2.579606873909244e-06	COMPLETED		2.579606873909244e-05
GSE24290	late_neuron_residual	repaired_statfree	Mural	-0.2285714285714286	0.1866014418388759	COMPLETED	0.331735896602446	proxy_program	35	-0.2128851540616246	0.2195070820304815	COMPLETED		0.3946194733132252
GSE24290	late_neuron_residual	repaired_statfree	Perineurial	-0.7448179271708684	2.8825417090797e-07	COMPLETED	2.7672400407165123e-06	proxy_program	35	-0.6840336134453783	5.888585376799201e-06	COMPLETED		4.958808738357222e-05
GSE24290	late_neuron_residual	repaired_statfree	Schwann	-0.5120448179271709	0.0016642785043147	COMPLETED	0.00599140261553292	proxy_program	35	-0.4851540616246498	0.0031370008850186	COMPLETED		0.0119504795619756
GSE24290	late_neuron_residual	repaired_statfree	Vascular_endothelial	0.2557422969187675	0.1381195673512078	COMPLETED	0.2617002328759727	proxy_program	35	0.276750700280112	0.1075221969388378	COMPLETED		0.2234227468858969
GSE24290	late_shared_concordant_neuronal_core	repaired_statfree	Endoneurial	0.0215686274509803	0.9021215828420188	COMPLETED	0.9278964852089336	proxy_program	35	0.0044817927170868	0.9796148401308112	COMPLETED		0.9857759397542754
GSE24290	late_shared_concordant_neuronal_core	repaired_statfree	Epineurial	0.3112044817927171	0.0687997971318419	COMPLETED	0.14569368804390048	proxy_program	35	0.3064425770308124	0.0733812441090375	COMPLETED		0.1701594066296521
GSE24290	late_shared_concordant_neuronal_core	repaired_statfree	Lymphoid	0.3630252100840336	0.0320797944040116	COMPLETED	0.07699150656962783	proxy_program	35	0.3467787114845939	0.0412626127005902	COMPLETED		0.1064841618079749
GSE24290	late_shared_concordant_neuronal_core	repaired_statfree	Macrophage	0.480952380952381	0.0034480087627933	COMPLETED	0.011242629776033599	proxy_program	35	0.5067226890756302	0.0018944672528154	COMPLETED		0.0077721733448838
GSE24290	late_shared_concordant_neuronal_core	repaired_statfree	Mural	-0.1745098039215686	0.3160346153791936	COMPLETED	0.48934392058713844	proxy_program	35	-0.1593837535014005	0.3604291556869384	COMPLETED		0.5389594851393472
GSE24290	late_shared_concordant_neuronal_core	repaired_statfree	Perineurial	-0.6495798319327731	2.41813613761373e-05	COMPLETED	0.00013330716131770888	proxy_program	35	-0.6700280112044819	1.068987777122308e-05	COMPLETED		8.144668778074728e-05
GSE24290	late_shared_concordant_neuronal_core	repaired_statfree	Schwann	-0.6801120448179272	6.981108938232266e-06	COMPLETED	4.7870461290735536e-05	proxy_program	35	-0.6473389355742297	2.6347867443265134e-05	COMPLETED		0.0001561355107749
GSE24290	late_shared_concordant_neuronal_core	repaired_statfree	Vascular_endothelial	0.3593837535014006	0.0339770782381435	COMPLETED	0.08020818469332236	proxy_program	35	0.3546218487394958	0.0365951261526103	COMPLETED		0.0989577668358899
GSE24290	original_early_allcell	repaired_statfree	Endoneurial	0.3322128851540616	0.0512001454342085	COMPLETED	0.11520032722696913	proxy_program	35	0.3322128851540616	0.0512001454342085	COMPLETED		0.1280003635855214
GSE24290	original_early_allcell	repaired_statfree	Epineurial	-0.157422969187675	0.3664447093792614	COMPLETED	0.5436805691080231	proxy_program	35	-0.157422969187675	0.3664447093792614	COMPLETED		0.5428810509322392
GSE24290	original_early_allcell	repaired_statfree	Lymphoid	-0.6593837535014005	1.6475520879763537e-05	COMPLETED	9.489900026743797e-05	proxy_program	35	-0.6593837535014005	1.6475520879763537e-05	COMPLETED		0.000109836805865
GSE24290	original_early_allcell	repaired_statfree	Macrophage	-0.684593837535014	5.745927095068268e-06	COMPLETED	4.137067508449153e-05	proxy_program	35	-0.684593837535014	5.745927095068268e-06	COMPLETED		4.958808738357222e-05
GSE24290	original_early_allcell	repaired_statfree	Mural	0.1809523809523809	0.2982151000093774	COMPLETED	0.4771441600150038	proxy_program	35	0.1809523809523809	0.2982151000093774	COMPLETED		0.4771441600150038
GSE24290	original_early_allcell	repaired_statfree	Perineurial	0.7162464985994398	1.3101379187246717e-06	COMPLETED	1.0481103349797374e-05	proxy_program	35	0.7162464985994398	1.3101379187246717e-06	COMPLETED		1.497300478542482e-05
GSE24290	original_early_allcell	repaired_statfree	Schwann	0.3770308123249299	0.0255717036645931	COMPLETED	0.06460219873160362	proxy_program	35	0.3770308123249299	0.0255717036645931	COMPLETED		0.073062010470266
GSE24290	original_early_allcell	repaired_statfree	Vascular_endothelial	-0.173109243697479	0.3199947979585621	COMPLETED	0.4902047968726909	proxy_program	35	-0.173109243697479	0.3199947979585621	COMPLETED		0.5019526242487249
GSE24290	original_late_allcell	repaired_statfree	Endoneurial	-0.0851540616246498	0.6267067175673653	COMPLETED	0.7973893886737128	proxy_program	35	-0.0851540616246498	0.6267067175673653	COMPLETED		0.7952965031391361
GSE24290	original_late_allcell	repaired_statfree	Epineurial	0.1434173669467787	0.4111246679757191	COMPLETED	0.5765794275977693	proxy_program	35	0.1434173669467787	0.4111246679757191	COMPLETED		0.5926121340190545
GSE24290	original_late_allcell	repaired_statfree	Lymphoid	0.1745098039215686	0.3160346153791936	COMPLETED	0.48934392058713844	proxy_program	35	0.1745098039215686	0.3160346153791936	COMPLETED		0.5006488956502078
GSE24290	original_late_allcell	repaired_statfree	Macrophage	0.2042016806722689	0.2393360427851888	COMPLETED	0.40546341365961397	proxy_program	35	0.2042016806722689	0.2393360427851888	COMPLETED		0.4196815355373892
GSE24290	original_late_allcell	repaired_statfree	Mural	-0.0338935574229691	0.8467317747626659	COMPLETED	0.9167622222994277	proxy_program	35	-0.0338935574229691	0.8467317747626659	COMPLETED		0.9146217565596538
GSE24290	original_late_allcell	repaired_statfree	Perineurial	-0.5649859943977592	0.0004061078361823	COMPLETED	0.0017199861297132707	proxy_program	35	-0.5649859943977592	0.0004061078361823	COMPLETED		0.0019110956996814
GSE24290	original_late_allcell	repaired_statfree	Schwann	-0.6613445378151261	1.5233065527086874e-05	COMPLETED	9.139839316252125e-05	proxy_program	35	-0.6613445378151261	1.5233065527086874e-05	COMPLETED		0.0001059691514927
GSE24290	original_late_allcell	repaired_statfree	Vascular_endothelial	0.4521008403361345	0.0063993455013964	COMPLETED	0.018806239840838398	proxy_program	35	0.4521008403361345	0.0063993455013964	COMPLETED		0.0204779056044687
GSE24290	original_late_neuron	repaired_statfree	Endoneurial	-0.0182072829131652	0.917318346848276	COMPLETED	0.9302383235644488	proxy_program	35	-0.1182072829131652	0.4988480889576118	COMPLETED		0.6720511129806161
GSE24290	original_late_neuron	repaired_statfree	Epineurial	0.380952380952381	0.0239587489796512	COMPLETED	0.062375111089068395	proxy_program	35	0.330812324929972	0.0522485024993985	COMPLETED		0.1286116984600579
GSE24290	original_late_neuron	repaired_statfree	Lymphoid	0.4801120448179272	0.0035133218050105	COMPLETED	0.011242629776033599	proxy_program	35	0.4851540616246498	0.0031370008850186	COMPLETED		0.0119504795619756
GSE24290	original_late_neuron	repaired_statfree	Macrophage	0.7565826330532213	1.457218943025625e-07	COMPLETED	1.4988537699692141e-06	proxy_program	35	0.7075630252100841	2.003259796012856e-06	COMPLETED		2.13681044908038e-05
GSE24290	original_late_neuron	repaired_statfree	Mural	-0.2478991596638655	0.1510443662902325	COMPLETED	0.2788511377665831	proxy_program	35	-0.2551820728291317	0.1390148713912902	COMPLETED		0.271248529543981
GSE24290	original_late_neuron	repaired_statfree	Perineurial	-0.7745098039215688	4.773433772993027e-08	COMPLETED	5.287495871623045e-07	proxy_program	35	-0.7627450980392159	1.0038430181008092e-07	COMPLETED		1.4601352990557223e-06
GSE24290	original_late_neuron	repaired_statfree	Schwann	-0.5733893557422969	0.0003174856660134	COMPLETED	0.0014286854970602999	proxy_program	35	-0.619607843137255	7.215115922299816e-05	COMPLETED		0.0003980753612303
GSE24290	original_late_neuron	repaired_statfree	Vascular_endothelial	0.2901960784313726	0.0908210226735441	COMPLETED	0.1868318180712907	proxy_program	35	0.3392156862745098	0.0462075784206701	COMPLETED		0.1173525801159876
GSE24290	original_severity	repaired_statfree	Endoneurial	0.2397759103641456	0.1653346546010708	COMPLETED	0.2976023782819274	proxy_program	35	0.2773109243697479	0.10678302150762	COMPLETED		0.2234227468858969
GSE24290	original_severity	repaired_statfree	Epineurial	0.1910364145658263	0.2716354347866582	COMPLETED	0.4496034782675722	proxy_program	35	0.1918767507002801	0.2694926685703867	COMPLETED		0.4491544476173112
